  6.7077052e-002  1.1005922e-001  5.4399582e-003 -2.1030863e-001 -1.2307703e-001  1.6313584e-001
  6.0574379e-002  9.8181624e-002  3.5499581e-003 -1.7346006e-001 -1.0314352e-001  1.3069583e-001
  6.8240808e-002  1.0932361e-001  4.1293669e-003 -1.7810104e-001 -1.0601665e-001  1.3117777e-001
  6.9217072e-002  1.0924114e-001  2.2149028e-003 -1.6245352e-001 -9.6115066e-002  1.1288543e-001
  9.7394989e-002  1.5170020e-001  1.6992000e-003 -2.0899723e-001 -1.1942232e-001  1.3356040e-001
  1.0966841e-001  1.6904068e-001 -1.8746758e-003 -2.0831854e-001 -1.2276132e-001  1.2658833e-001
  1.1220586e-001  1.7012648e-001 -3.7575353e-003 -1.8742163e-001 -1.1301421e-001  9.5138111e-002
  1.1729342e-001  1.7529316e-001 -7.9186037e-003 -1.6841999e-001 -9.7367748e-002  7.7469542e-002
  1.1631453e-001  1.6904232e-001 -6.7568337e-003 -1.4156609e-001 -6.5064114e-002  7.4681576e-002
  1.1411726e-001  1.6114123e-001 -6.8539231e-003 -1.1426822e-001 -4.1809000e-002  6.0069605e-002
  1.0742722e-001  1.4797890e-001 -9.6987293e-003 -8.4263690e-002 -1.5370332e-002  3.2385221e-002
  1.1839242e-001  1.5788937e-001 -1.1298547e-002 -7.0844099e-002  3.7331194e-003  1.7832722e-002
  1.2670466e-001  1.6370676e-001 -1.3795006e-002 -5.2516646e-002  2.4083276e-002  7.9637097e-004
  1.3587306e-001  1.6984287e-001 -1.6166431e-002 -3.3206270e-002  4.7458554e-002 -1.4849892e-002
  1.4322587e-001  1.7525114e-001 -2.3313349e-002 -5.0976731e-003  5.6478325e-002 -4.2785551e-002
  1.4413899e-001  1.7257342e-001 -3.0604892e-002  2.4224140e-002  5.5299605e-002 -6.3612112e-002
  1.4495835e-001  1.6587185e-001 -2.6757751e-002  4.4819470e-002  4.0518486e-002 -8.3705122e-002
  1.4374603e-001  1.6077793e-001 -3.4795737e-002  7.0704141e-002  4.6066210e-002 -1.0040711e-001
  1.4252685e-001  1.5294532e-001 -3.8407905e-002  8.6650360e-002  6.2720952e-002 -1.1665348e-001
  1.4390024e-001  1.4097189e-001 -2.5573690e-002  8.3277385e-002  7.2906660e-002 -1.4942979e-001
