                                     Moon                                     
     
            Topocentric Physical Ephemeris: Illumination Parameters           
     
                         David Rittenhouse Laboratory                         
                Location:  W 75°11'20.4", N39°57'08.1",    12m                
                  (Longitude referred to Greenwich meridian)                  
     
   Date        Time             Phase     Fraction                       Semi-
         (UT1)                  Angle    Illuminated    Parallax       diameter
             h  m   s             °                      '   "          '   "
2014 Jun 28 06:45:00.0         167.80       0.011       46 02.46       14 41.15
2014 Jun 28 06:50:00.0         167.76       0.011       46 10.32       14 41.19
2014 Jun 28 06:55:00.0         167.71       0.011       46 18.71       14 41.23
2014 Jun 28 07:00:00.0         167.67       0.012       46 27.61       14 41.28
2014 Jun 28 07:05:00.0         167.62       0.012       46 37.01       14 41.34
2014 Jun 28 07:10:00.0         167.58       0.012       46 46.87       14 41.39
2014 Jun 28 07:15:00.0         167.53       0.012       46 57.17       14 41.45
2014 Jun 28 07:20:00.0         167.49       0.012       47 07.88       14 41.52
2014 Jun 28 07:25:00.0         167.44       0.012       47 18.96       14 41.59
2014 Jun 28 07:30:00.0         167.40       0.012       47 30.41       14 41.66
2014 Jun 28 07:35:00.0         167.35       0.012       47 42.17       14 41.74
2014 Jun 28 07:40:00.0         167.31       0.012       47 54.23       14 41.82
2014 Jun 28 07:45:00.0         167.26       0.012       48 06.55       14 41.91
2014 Jun 28 07:50:00.0         167.22       0.012       48 19.10       14 42.00
2014 Jun 28 07:55:00.0         167.17       0.012       48 31.85       14 42.09
2014 Jun 28 08:00:00.0         167.13       0.013       48 44.77       14 42.19
2014 Jun 28 08:05:00.0         167.09       0.013       48 57.82       14 42.29
2014 Jun 28 08:10:00.0         167.04       0.013       49 10.98       14 42.40
2014 Jun 28 08:15:00.0         167.00       0.013       49 24.21       14 42.51
2014 Jun 28 08:20:00.0         166.95       0.013       49 37.48       14 42.62
2014 Jun 28 08:25:00.0         166.91       0.013       49 50.76       14 42.74
2014 Jun 28 08:30:00.0         166.87       0.013       50 04.02       14 42.86
2014 Jun 28 08:35:00.0         166.83       0.013       50 17.23       14 42.98
2014 Jun 28 08:40:00.0         166.78       0.013       50 30.35       14 43.11
2014 Jun 28 08:45:00.0         166.74       0.013       50 43.36       14 43.24
2014 Jun 28 08:50:00.0         166.70       0.013       50 56.23       14 43.37
2014 Jun 28 08:55:00.0         166.65       0.014       51 08.92       14 43.51
2014 Jun 28 09:00:00.0         166.61       0.014       51 21.41       14 43.65
2014 Jun 28 09:05:00.0         166.57       0.014       51 33.67       14 43.80
2014 Jun 28 09:10:00.0         166.53       0.014       51 45.67       14 43.94
2014 Jun 28 09:15:00.0         166.49       0.014       51 57.38       14 44.09
2014 Jun 28 09:20:00.0         166.45       0.014       52 08.78       14 44.25
2014 Jun 28 09:25:00.0         166.40       0.014       52 19.83       14 44.40
2014 Jun 28 09:30:00.0         166.36       0.014       52 30.52       14 44.56
2014 Jun 28 09:35:00.0         166.32       0.014       52 40.82       14 44.72
2014 Jun 28 09:40:00.0         166.28       0.014       52 50.70       14 44.89
2014 Jun 28 09:45:00.0         166.24       0.014       53 00.14       14 45.05
