                                    Sun                                   
     
                      Apparent Topocentric Positions                      
                        Local Zenith and True North                       
     
                       David Rittenhouse Laboratory                       
              Location:  W 75°11'20.4", N39°57'08.1",    12m              
                (Longitude referred to Greenwich meridian)                
     
   Date        Time          Zenith          Azimuth         Distance
        (UT1)               Distance        (E of N)        to Object
             h  m   s         °               °                 AU
2014 Jun 28 07:35:00.0     107.64316        36.17316       1.016605443
2014 Jun 28 07:40:00.0     107.07080        37.21592       1.016605148
2014 Jun 28 07:45:00.0     106.48463        38.24702       1.016604841
2014 Jun 28 07:50:00.0     105.88500        39.26652       1.016604523
2014 Jun 28 07:55:00.0     105.27224        40.27448       1.016604195
2014 Jun 28 08:00:00.0     104.64669        41.27100       1.016603856
2014 Jun 28 08:05:00.0     104.00868        42.25618       1.016603506
2014 Jun 28 08:10:00.0     103.35856        43.23015       1.016603147
2014 Jun 28 08:15:00.0     102.69663        44.19304       1.016602777
2014 Jun 28 08:20:00.0     102.02322        45.14501       1.016602398
2014 Jun 28 08:25:00.0     101.33865        46.08622       1.016602010
2014 Jun 28 08:30:00.0     100.64322        47.01685       1.016601612
2014 Jun 28 08:35:00.0      99.93723        47.93709       1.016601205
2014 Jun 28 08:40:00.0      99.22100        48.84712       1.016600789
2014 Jun 28 08:45:00.0      98.49480        49.74716       1.016600365
2014 Jun 28 08:50:00.0      97.75893        50.63742       1.016599933
2014 Jun 28 08:55:00.0      97.01367        51.51813       1.016599493
2014 Jun 28 09:00:00.0      96.25929        52.38950       1.016599045
2014 Jun 28 09:05:00.0      95.49607        53.25178       1.016598589
2014 Jun 28 09:10:00.0      94.72425        54.10521       1.016598127
2014 Jun 28 09:15:00.0      93.94412        54.95002       1.016597657
2014 Jun 28 09:20:00.0      93.15591        55.78648       1.016597181
2014 Jun 28 09:25:00.0      92.35987        56.61484       1.016596699
2014 Jun 28 09:30:00.0      91.55624        57.43535       1.016596210
2014 Jun 28 09:35:00.0      90.74526        58.24828       1.016595716
2014 Jun 28 09:40:00.0      89.92716        59.05389       1.016595216
2014 Jun 28 09:45:00.0      89.10216        59.85245       1.016594711
2014 Jun 28 09:50:00.0      88.27048        60.64424       1.016594201
2014 Jun 28 09:55:00.0      87.43233        61.42952       1.016593687
2014 Jun 28 10:00:00.0      86.58793        62.20858       1.016593168
2014 Jun 28 10:05:00.0      85.73747        62.98170       1.016592645
2014 Jun 28 10:10:00.0      84.88117        63.74915       1.016592118
2014 Jun 28 10:15:00.0      84.01920        64.51123       1.016591588
2014 Jun 28 10:20:00.0      83.15177        65.26822       1.016591055
2014 Jun 28 10:25:00.0      82.27906        66.02041       1.016590519
2014 Jun 28 10:30:00.0      81.40125        66.76810       1.016589981
2014 Jun 28 10:35:00.0      80.51852        67.51158       1.016589441
2014 Jun 28 10:40:00.0      79.63104        68.25116       1.016588898
2014 Jun 28 10:45:00.0      78.73900        68.98714       1.016588354
2014 Jun 28 10:50:00.0      77.84255        69.71983       1.016587809
2014 Jun 28 10:55:00.0      76.94186        70.44954       1.016587262
2014 Jun 28 11:00:00.0      76.03709        71.17660       1.016586716
2014 Jun 28 11:05:00.0      75.12840        71.90132       1.016586168
2014 Jun 28 11:10:00.0      74.21596        72.62403       1.016585621
2014 Jun 28 11:15:00.0      73.29991        73.34506       1.016585074
2014 Jun 28 11:20:00.0      72.38040        74.06477       1.016584528
2014 Jun 28 11:25:00.0      71.45759        74.78350       1.016583982
2014 Jun 28 11:30:00.0      70.53163        75.50160       1.016583438
2014 Jun 28 11:35:00.0      69.60266        76.21945       1.016582896
2014 Jun 28 11:40:00.0      68.67083        76.93741       1.016582355
2014 Jun 28 11:45:00.0      67.73629        77.65589       1.016581816
2014 Jun 28 11:50:00.0      66.79917        78.37526       1.016581280
2014 Jun 28 11:55:00.0      65.85963        79.09595       1.016580747
2014 Jun 28 12:00:00.0      64.91780        79.81838       1.016580217
2014 Jun 28 12:05:00.0      63.97383        80.54299       1.016579690
2014 Jun 28 12:10:00.0      63.02787        81.27023       1.016579166
2014 Jun 28 12:15:00.0      62.08006        82.00059       1.016578647
2014 Jun 28 12:20:00.0      61.13055        82.73454       1.016578132
2014 Jun 28 12:25:00.0      60.17947        83.47260       1.016577622
2014 Jun 28 12:30:00.0      59.22699        84.21532       1.016577117
2014 Jun 28 12:35:00.0      58.27325        84.96324       1.016576616
2014 Jun 28 12:40:00.0      57.31841        85.71697       1.016576121
2014 Jun 28 12:45:00.0      56.36263        86.47711       1.016575632
2014 Jun 28 12:50:00.0      55.40606        87.24432       1.016575149
2014 Jun 28 12:55:00.0      54.44887        88.01929       1.016574672
2014 Jun 28 13:00:00.0      53.49123        88.80273       1.016574202
2014 Jun 28 13:05:00.0      52.53331        89.59540       1.016573739
2014 Jun 28 13:10:00.0      51.57530        90.39813       1.016573283
2014 Jun 28 13:15:00.0      50.61738        91.21176       1.016572834
2014 Jun 28 13:20:00.0      49.65975        92.03722       1.016572393
2014 Jun 28 13:25:00.0      48.70262        92.87546       1.016571959
2014 Jun 28 13:30:00.0      47.74620        93.72753       1.016571534
2014 Jun 28 13:35:00.0      46.79071        94.59454       1.016571118
2014 Jun 28 13:40:00.0      45.83640        95.47766       1.016570710
2014 Jun 28 13:45:00.0      44.88351        96.37817       1.016570311
2014 Jun 28 13:50:00.0      43.93231        97.29742       1.016569921
2014 Jun 28 13:55:00.0      42.98308        98.23687       1.016569541
2014 Jun 28 14:00:00.0      42.03614        99.19810       1.016569170
2014 Jun 28 14:05:00.0      41.09179       100.18278       1.016568809
2014 Jun 28 14:10:00.0      40.15040       101.19275       1.016568458
2014 Jun 28 14:15:00.0      39.21233       102.22998       1.016568118
2014 Jun 28 14:20:00.0      38.27799       103.29658       1.016567788
2014 Jun 28 14:25:00.0      37.34781       104.39486       1.016567468
2014 Jun 28 14:30:00.0      36.42227       105.52731       1.016567160
2014 Jun 28 14:35:00.0      35.50189       106.69662       1.016566863
2014 Jun 28 14:40:00.0      34.58722       107.90573       1.016566577
2014 Jun 28 14:45:00.0      33.67889       109.15779       1.016566302
2014 Jun 28 14:50:00.0      32.77755       110.45624       1.016566040
2014 Jun 28 14:55:00.0      31.88395       111.80481       1.016565789
2014 Jun 28 15:00:00.0      30.99890       113.20753       1.016565550
2014 Jun 28 15:05:00.0      30.12329       114.66878       1.016565323
2014 Jun 28 15:10:00.0      29.25811       116.19325       1.016565109
2014 Jun 28 15:15:00.0      28.40443       117.78606       1.016564907
2014 Jun 28 15:20:00.0      27.56347       119.45265       1.016564718
2014 Jun 28 15:25:00.0      26.73654       121.19888       1.016564541
2014 Jun 28 15:30:00.0      25.92511       123.03100       1.016564378
2014 Jun 28 15:35:00.0      25.13081       124.95558       1.016564228
2014 Jun 28 15:40:00.0      24.35544       126.97954       1.016564090
2014 Jun 28 15:45:00.0      23.60097       129.11005       1.016563966
2014 Jun 28 15:50:00.0      22.86957       131.35439       1.016563856
2014 Jun 28 15:55:00.0      22.16366       133.71988       1.016563759
2014 Jun 28 16:00:00.0      21.48583       136.21361       1.016563675
2014 Jun 28 16:05:00.0      20.83893       138.84216       1.016563605
2014 Jun 28 16:10:00.0      20.22602       141.61134       1.016563549
2014 Jun 28 16:15:00.0      19.65037       144.52567       1.016563507
2014 Jun 28 16:20:00.0      19.11542       147.58796       1.016563479
2014 Jun 28 16:25:00.0      18.62477       150.79870       1.016563464
2014 Jun 28 16:30:00.0      18.18206       154.15552       1.016563464
2014 Jun 28 16:35:00.0      17.79094       157.65262       1.016563478
2014 Jun 28 16:40:00.0      17.45493       161.28029       1.016563506
2014 Jun 28 16:45:00.0      17.17731       165.02465       1.016563548
2014 Jun 28 16:50:00.0      16.96099       168.86754       1.016563604
2014 Jun 28 16:55:00.0      16.80836       172.78689       1.016563674
2014 Jun 28 17:00:00.0      16.72120       176.75729       1.016563759
2014 Jun 28 17:05:00.0      16.70053       180.75101       1.016563858
2014 Jun 28 17:10:00.0      16.74661       184.73923       1.016563971
2014 Jun 28 17:15:00.0      16.85888       188.69336       1.016564098
2014 Jun 28 17:20:00.0      17.03602       192.58644       1.016564240
2014 Jun 28 17:25:00.0      17.27602       196.39422       1.016564396
2014 Jun 28 17:30:00.0      17.57626       200.09607       1.016564566
2014 Jun 28 17:35:00.0      17.93368       203.67545       1.016564750
