                                     Moon                                     
     
            Topocentric Physical Ephemeris: Illumination Parameters           
     
                           Cherry Springs State Park                          
                Location:  W 77°48'45.0", N41°39'52.6",   710m                
                  (Longitude referred to Greenwich meridian)                  
     
   Date        Time             Phase     Fraction                       Semi-
         (UT1)                  Angle    Illuminated    Parallax       diameter
             h  m   s             °                      '   "          '   "
2014 Jun 28 00:00:00.0         171.23       0.006       53 50.13       14 51.73
2014 Jun 28 00:05:00.0         171.19       0.006       53 56.60       14 51.50
2014 Jun 28 00:10:00.0         171.16       0.006       54 02.30       14 51.27
2014 Jun 28 00:15:00.0         171.12       0.006       54 07.24       14 51.05
2014 Jun 28 00:20:00.0         171.09       0.006       54 11.40       14 50.82
2014 Jun 28 00:25:00.0         171.05       0.006       54 14.82       14 50.59
2014 Jun 28 00:30:00.0         171.02       0.006       54 17.49       14 50.37
2014 Jun 28 00:35:00.0         170.98       0.006       54 19.43       14 50.14
2014 Jun 28 00:40:00.0         170.95       0.006       54 20.65       14 49.92
2014 Jun 28 00:45:00.0         170.91       0.006       54 21.16       14 49.70
2014 Jun 28 00:50:00.0         170.87       0.006       54 20.96       14 49.48
2014 Jun 28 00:55:00.0         170.83       0.006       54 20.08       14 49.26
2014 Jun 28 01:00:00.0         170.80       0.006       54 18.53       14 49.04
2014 Jun 28 01:05:00.0         170.76       0.006       54 16.32       14 48.82
2014 Jun 28 01:10:00.0         170.72       0.007       54 13.47       14 48.61
2014 Jun 28 01:15:00.0         170.68       0.007       54 09.99       14 48.40
2014 Jun 28 01:20:00.0         170.65       0.007       54 05.90       14 48.18
2014 Jun 28 01:25:00.0         170.61       0.007       54 01.21       14 47.98
2014 Jun 28 01:30:00.0         170.57       0.007       53 55.95       14 47.77
2014 Jun 28 01:35:00.0         170.53       0.007       53 50.12       14 47.56
2014 Jun 28 01:40:00.0         170.49       0.007       53 43.76       14 47.36
2014 Jun 28 01:45:00.0         170.45       0.007       53 36.88       14 47.16
2014 Jun 28 01:50:00.0         170.41       0.007       53 29.50       14 46.96
2014 Jun 28 01:55:00.0         170.37       0.007       53 21.64       14 46.77
2014 Jun 28 02:00:00.0         170.33       0.007       53 13.33       14 46.57
2014 Jun 28 02:05:00.0         170.29       0.007       53 04.57       14 46.38
2014 Jun 28 02:10:00.0         170.25       0.007       52 55.41       14 46.19
2014 Jun 28 02:15:00.0         170.21       0.007       52 45.86       14 46.01
2014 Jun 28 02:20:00.0         170.17       0.007       52 35.94       14 45.82
2014 Jun 28 02:25:00.0         170.13       0.007       52 25.68       14 45.64
2014 Jun 28 02:30:00.0         170.09       0.007       52 15.10       14 45.47
2014 Jun 28 02:35:00.0         170.05       0.008       52 04.24       14 45.29
2014 Jun 28 02:40:00.0         170.00       0.008       51 53.11       14 45.12
2014 Jun 28 02:45:00.0         169.96       0.008       51 41.74       14 44.95
2014 Jun 28 02:50:00.0         169.92       0.008       51 30.16       14 44.79
2014 Jun 28 02:55:00.0         169.88       0.008       51 18.40       14 44.62
2014 Jun 28 03:00:00.0         169.84       0.008       51 06.48       14 44.47
2014 Jun 28 03:05:00.0         169.79       0.008       50 54.43       14 44.31
2014 Jun 28 03:10:00.0         169.75       0.008       50 42.29       14 44.16
2014 Jun 28 03:15:00.0         169.71       0.008       50 30.07       14 44.01
2014 Jun 28 03:20:00.0         169.66       0.008       50 17.82       14 43.87
2014 Jun 28 03:25:00.0         169.62       0.008       50 05.55       14 43.72
2014 Jun 28 03:30:00.0         169.58       0.008       49 53.30       14 43.59
2014 Jun 28 03:35:00.0         169.53       0.008       49 41.09       14 43.45
2014 Jun 28 03:40:00.0         169.49       0.008       49 28.97       14 43.32
2014 Jun 28 03:45:00.0         169.45       0.008       49 16.94       14 43.20
2014 Jun 28 03:50:00.0         169.40       0.009       49 05.06       14 43.07
2014 Jun 28 03:55:00.0         169.36       0.009       48 53.34       14 42.95
2014 Jun 28 04:00:00.0         169.31       0.009       48 41.81       14 42.84
2014 Jun 28 04:05:00.0         169.27       0.009       48 30.51       14 42.73
2014 Jun 28 04:10:00.0         169.23       0.009       48 19.46       14 42.62
2014 Jun 28 04:15:00.0         169.18       0.009       48 08.68       14 42.52
2014 Jun 28 04:20:00.0         169.14       0.009       47 58.22       14 42.42
2014 Jun 28 04:25:00.0         169.09       0.009       47 48.09       14 42.32
2014 Jun 28 04:30:00.0         169.05       0.009       47 38.32       14 42.23
2014 Jun 28 04:35:00.0         169.00       0.009       47 28.94       14 42.14
2014 Jun 28 04:40:00.0         168.96       0.009       47 19.97       14 42.06
2014 Jun 28 04:45:00.0         168.91       0.009       47 11.43       14 41.98
2014 Jun 28 04:50:00.0         168.87       0.009       47 03.36       14 41.91
2014 Jun 28 04:55:00.0         168.82       0.009       46 55.76       14 41.84
2014 Jun 28 05:00:00.0         168.78       0.010       46 48.67       14 41.77
2014 Jun 28 05:05:00.0         168.73       0.010       46 42.09       14 41.71
2014 Jun 28 05:10:00.0         168.69       0.010       46 36.06       14 41.65
2014 Jun 28 05:15:00.0         168.64       0.010       46 30.58       14 41.60
2014 Jun 28 05:20:00.0         168.60       0.010       46 25.67       14 41.55
2014 Jun 28 05:25:00.0         168.55       0.010       46 21.35       14 41.50
2014 Jun 28 05:30:00.0         168.51       0.010       46 17.62       14 41.46
2014 Jun 28 05:35:00.0         168.46       0.010       46 14.50       14 41.43
2014 Jun 28 05:40:00.0         168.41       0.010       46 12.00       14 41.40
2014 Jun 28 05:45:00.0         168.37       0.010       46 10.12       14 41.37
2014 Jun 28 05:50:00.0         168.32       0.010       46 08.87       14 41.35
2014 Jun 28 05:55:00.0         168.28       0.010       46 08.25       14 41.33
2014 Jun 28 06:00:00.0         168.23       0.011       46 08.26       14 41.31
2014 Jun 28 06:05:00.0         168.19       0.011       46 08.91       14 41.31
2014 Jun 28 06:10:00.0         168.14       0.011       46 10.19       14 41.30
2014 Jun 28 06:15:00.0         168.09       0.011       46 12.09       14 41.30
2014 Jun 28 06:20:00.0         168.05       0.011       46 14.62       14 41.30
2014 Jun 28 06:25:00.0         168.00       0.011       46 17.76       14 41.31
2014 Jun 28 06:30:00.0         167.96       0.011       46 21.50       14 41.32
2014 Jun 28 06:35:00.0         167.91       0.011       46 25.84       14 41.34
2014 Jun 28 06:40:00.0         167.87       0.011       46 30.76       14 41.36
2014 Jun 28 06:45:00.0         167.82       0.011       46 36.25       14 41.39
2014 Jun 28 06:50:00.0         167.78       0.011       46 42.29       14 41.41
2014 Jun 28 06:55:00.0         167.73       0.011       46 48.87       14 41.45
2014 Jun 28 07:00:00.0         167.69       0.012       46 55.96       14 41.49
2014 Jun 28 07:05:00.0         167.64       0.012       47 03.55       14 41.53
2014 Jun 28 07:10:00.0         167.60       0.012       47 11.61       14 41.58
2014 Jun 28 07:15:00.0         167.55       0.012       47 20.13       14 41.63
2014 Jun 28 07:20:00.0         167.51       0.012       47 29.08       14 41.68
2014 Jun 28 07:25:00.0         167.46       0.012       47 38.43       14 41.74
2014 Jun 28 07:30:00.0         167.42       0.012       47 48.17       14 41.80
2014 Jun 28 07:35:00.0         167.37       0.012       47 58.26       14 41.87
2014 Jun 28 07:40:00.0         167.33       0.012       48 08.68       14 41.94
2014 Jun 28 07:45:00.0         167.28       0.012       48 19.40       14 42.02
2014 Jun 28 07:50:00.0         167.24       0.012       48 30.39       14 42.10
2014 Jun 28 07:55:00.0         167.19       0.012       48 41.63       14 42.18
2014 Jun 28 08:00:00.0         167.15       0.013       48 53.09       14 42.27
2014 Jun 28 08:05:00.0         167.11       0.013       49 04.73       14 42.36
2014 Jun 28 08:10:00.0         167.06       0.013       49 16.53       14 42.45
2014 Jun 28 08:15:00.0         167.02       0.013       49 28.47       14 42.55
2014 Jun 28 08:20:00.0         166.97       0.013       49 40.50       14 42.65
2014 Jun 28 08:25:00.0         166.93       0.013       49 52.60       14 42.76
2014 Jun 28 08:30:00.0         166.89       0.013       50 04.74       14 42.87
2014 Jun 28 08:35:00.0         166.84       0.013       50 16.89       14 42.98
2014 Jun 28 08:40:00.0         166.80       0.013       50 29.02       14 43.10
2014 Jun 28 08:45:00.0         166.76       0.013       50 41.11       14 43.21
2014 Jun 28 08:50:00.0         166.71       0.013       50 53.12       14 43.34
2014 Jun 28 08:55:00.0         166.67       0.013       51 05.03       14 43.46
2014 Jun 28 09:00:00.0         166.63       0.014       51 16.80       14 43.59
2014 Jun 28 09:05:00.0         166.59       0.014       51 28.41       14 43.73
2014 Jun 28 09:10:00.0         166.55       0.014       51 39.83       14 43.86
2014 Jun 28 09:15:00.0         166.50       0.014       51 51.03       14 44.00
2014 Jun 28 09:20:00.0         166.46       0.014       52 01.99       14 44.15
2014 Jun 28 09:25:00.0         166.42       0.014       52 12.69       14 44.29
2014 Jun 28 09:30:00.0         166.38       0.014       52 23.08       14 44.44
2014 Jun 28 09:35:00.0         166.34       0.014       52 33.16       14 44.59
2014 Jun 28 09:40:00.0         166.30       0.014       52 42.89       14 44.74
2014 Jun 28 09:45:00.0         166.26       0.014       52 52.26       14 44.90
2014 Jun 28 09:50:00.0         166.21       0.014       53 01.23       14 45.06
2014 Jun 28 09:55:00.0         166.17       0.014       53 09.78       14 45.22
2014 Jun 28 10:00:00.0         166.13       0.015       53 17.89       14 45.39
2014 Jun 28 10:05:00.0         166.09       0.015       53 25.55       14 45.55
2014 Jun 28 10:10:00.0         166.05       0.015       53 32.72       14 45.72
2014 Jun 28 10:15:00.0         166.02       0.015       53 39.39       14 45.89
2014 Jun 28 10:20:00.0         165.98       0.015       53 45.54       14 46.07
2014 Jun 28 10:25:00.0         165.94       0.015       53 51.15       14 46.24
2014 Jun 28 10:30:00.0         165.90       0.015       53 56.20       14 46.42
2014 Jun 28 10:35:00.0         165.86       0.015       54 00.67       14 46.60
2014 Jun 28 10:40:00.0         165.82       0.015       54 04.55       14 46.78
2014 Jun 28 10:45:00.0         165.78       0.015       54 07.81       14 46.96
2014 Jun 28 10:50:00.0         165.74       0.015       54 10.45       14 47.15
2014 Jun 28 10:55:00.0         165.71       0.015       54 12.44       14 47.33
2014 Jun 28 11:00:00.0         165.67       0.016       54 13.78       14 47.52
2014 Jun 28 11:05:00.0         165.63       0.016       54 14.44       14 47.71
2014 Jun 28 11:10:00.0         165.60       0.016       54 14.42       14 47.90
2014 Jun 28 11:15:00.0         165.56       0.016       54 13.70       14 48.09
2014 Jun 28 11:20:00.0         165.52       0.016       54 12.28       14 48.29
2014 Jun 28 11:25:00.0         165.49       0.016       54 10.13       14 48.48
2014 Jun 28 11:30:00.0         165.45       0.016       54 07.26       14 48.67
2014 Jun 28 11:35:00.0         165.41       0.016       54 03.65       14 48.87
2014 Jun 28 11:40:00.0         165.38       0.016       53 59.28       14 49.07
2014 Jun 28 11:45:00.0         165.34       0.016       53 54.16       14 49.26
2014 Jun 28 11:50:00.0         165.31       0.016       53 48.28       14 49.46
2014 Jun 28 11:55:00.0         165.27       0.016       53 41.62       14 49.66
2014 Jun 28 12:00:00.0         165.24       0.017       53 34.19       14 49.86
2014 Jun 28 12:05:00.0         165.20       0.017       53 25.98       14 50.06
2014 Jun 28 12:10:00.0         165.17       0.017       53 16.98       14 50.26
2014 Jun 28 12:15:00.0         165.14       0.017       53 07.19       14 50.46
2014 Jun 28 12:20:00.0         165.10       0.017       52 56.60       14 50.66
2014 Jun 28 12:25:00.0         165.07       0.017       52 45.22       14 50.86
2014 Jun 28 12:30:00.0         165.04       0.017       52 33.04       14 51.06
2014 Jun 28 12:35:00.0         165.00       0.017       52 20.06       14 51.25
2014 Jun 28 12:40:00.0         164.97       0.017       52 06.29       14 51.45
2014 Jun 28 12:45:00.0         164.94       0.017       51 51.71       14 51.65
2014 Jun 28 12:50:00.0         164.91       0.017       51 36.34       14 51.85
2014 Jun 28 12:55:00.0         164.87       0.017       51 20.18       14 52.05
2014 Jun 28 13:00:00.0         164.84       0.017       51 03.22       14 52.24
2014 Jun 28 13:05:00.0         164.81       0.017       50 45.48       14 52.44
2014 Jun 28 13:10:00.0         164.78       0.018       50 26.95       14 52.63
2014 Jun 28 13:15:00.0         164.75       0.018       50 07.65       14 52.82
2014 Jun 28 13:20:00.0         164.72       0.018       49 47.58       14 53.02
2014 Jun 28 13:25:00.0         164.69       0.018       49 26.74       14 53.21
2014 Jun 28 13:30:00.0         164.66       0.018       49 05.15       14 53.40
2014 Jun 28 13:35:00.0         164.63       0.018       48 42.81       14 53.59
2014 Jun 28 13:40:00.0         164.60       0.018       48 19.74       14 53.77
2014 Jun 28 13:45:00.0         164.57       0.018       47 55.94       14 53.96
2014 Jun 28 13:50:00.0         164.54       0.018       47 31.43       14 54.14
2014 Jun 28 13:55:00.0         164.51       0.018       47 06.21       14 54.32
2014 Jun 28 14:00:00.0         164.48       0.018       46 40.31       14 54.50
2014 Jun 28 14:05:00.0         164.45       0.018       46 13.73       14 54.68
2014 Jun 28 14:10:00.0         164.42       0.018       45 46.50       14 54.86
2014 Jun 28 14:15:00.0         164.40       0.018       45 18.62       14 55.03
2014 Jun 28 14:20:00.0         164.37       0.018       44 50.13       14 55.20
2014 Jun 28 14:25:00.0         164.34       0.019       44 21.03       14 55.37
2014 Jun 28 14:30:00.0         164.31       0.019       43 51.34       14 55.54
2014 Jun 28 14:35:00.0         164.28       0.019       43 21.10       14 55.70
2014 Jun 28 14:40:00.0         164.26       0.019       42 50.31       14 55.87
2014 Jun 28 14:45:00.0         164.23       0.019       42 19.01       14 56.02
2014 Jun 28 14:50:00.0         164.20       0.019       41 47.22       14 56.18
2014 Jun 28 14:55:00.0         164.18       0.019       41 14.97       14 56.34
2014 Jun 28 15:00:00.0         164.15       0.019       40 42.29       14 56.49
2014 Jun 28 15:05:00.0         164.12       0.019       40 09.20       14 56.63
2014 Jun 28 15:10:00.0         164.10       0.019       39 35.74       14 56.78
2014 Jun 28 15:15:00.0         164.07       0.019       39 01.93       14 56.92
2014 Jun 28 15:20:00.0         164.05       0.019       38 27.83       14 57.06
2014 Jun 28 15:25:00.0         164.02       0.019       37 53.46       14 57.19
2014 Jun 28 15:30:00.0         163.99       0.019       37 18.86       14 57.33
2014 Jun 28 15:35:00.0         163.97       0.019       36 44.08       14 57.45
2014 Jun 28 15:40:00.0         163.94       0.020       36 09.16       14 57.58
2014 Jun 28 15:45:00.0         163.92       0.020       35 34.14       14 57.70
2014 Jun 28 15:50:00.0         163.89       0.020       34 59.08       14 57.82
2014 Jun 28 15:55:00.0         163.87       0.020       34 24.02       14 57.93
2014 Jun 28 16:00:00.0         163.84       0.020       33 49.02       14 58.04
2014 Jun 28 16:05:00.0         163.82       0.020       33 14.14       14 58.15
2014 Jun 28 16:10:00.0         163.79       0.020       32 39.44       14 58.25
2014 Jun 28 16:15:00.0         163.77       0.020       32 04.98       14 58.35
2014 Jun 28 16:20:00.0         163.74       0.020       31 30.83       14 58.44
2014 Jun 28 16:25:00.0         163.72       0.020       30 57.05       14 58.54
2014 Jun 28 16:30:00.0         163.70       0.020       30 23.74       14 58.62
2014 Jun 28 16:35:00.0         163.67       0.020       29 50.95       14 58.71
2014 Jun 28 16:40:00.0         163.65       0.020       29 18.78       14 58.78
2014 Jun 28 16:45:00.0         163.62       0.020       28 47.30       14 58.86
2014 Jun 28 16:50:00.0         163.60       0.020       28 16.62       14 58.93
2014 Jun 28 16:55:00.0         163.58       0.020       27 46.81       14 58.99
2014 Jun 28 17:00:00.0         163.55       0.020       27 17.98       14 59.05
2014 Jun 28 17:05:00.0         163.53       0.021       26 50.22       14 59.11
2014 Jun 28 17:10:00.0         163.51       0.021       26 23.64       14 59.16
2014 Jun 28 17:15:00.0         163.48       0.021       25 58.34       14 59.21
2014 Jun 28 17:20:00.0         163.46       0.021       25 34.42       14 59.26
2014 Jun 28 17:25:00.0         163.43       0.021       25 11.98       14 59.29
2014 Jun 28 17:30:00.0         163.41       0.021       24 51.13       14 59.33
2014 Jun 28 17:35:00.0         163.39       0.021       24 31.97       14 59.36
2014 Jun 28 17:40:00.0         163.36       0.021       24 14.59       14 59.39
2014 Jun 28 17:45:00.0         163.34       0.021       23 59.10       14 59.41
2014 Jun 28 17:50:00.0         163.32       0.021       23 45.57       14 59.42
2014 Jun 28 17:55:00.0         163.29       0.021       23 34.08       14 59.43
2014 Jun 28 18:00:00.0         163.27       0.021       23 24.71       14 59.44
2014 Jun 28 18:05:00.0         163.25       0.021       23 17.51       14 59.44
2014 Jun 28 18:10:00.0         163.22       0.021       23 12.52       14 59.44
2014 Jun 28 18:15:00.0         163.20       0.021       23 09.77       14 59.43
2014 Jun 28 18:20:00.0         163.18       0.021       23 09.29       14 59.42
2014 Jun 28 18:25:00.0         163.15       0.021       23 11.08       14 59.41
2014 Jun 28 18:30:00.0         163.13       0.022       23 15.13       14 59.39
2014 Jun 28 18:35:00.0         163.10       0.022       23 21.41       14 59.36
2014 Jun 28 18:40:00.0         163.08       0.022       23 29.87       14 59.33
2014 Jun 28 18:45:00.0         163.06       0.022       23 40.48       14 59.29
2014 Jun 28 18:50:00.0         163.03       0.022       23 53.16       14 59.26
2014 Jun 28 18:55:00.0         163.01       0.022       24 07.85       14 59.21
2014 Jun 28 19:00:00.0         162.98       0.022       24 24.45       14 59.16
2014 Jun 28 19:05:00.0         162.96       0.022       24 42.88       14 59.11
2014 Jun 28 19:10:00.0         162.94       0.022       25 03.05       14 59.05
2014 Jun 28 19:15:00.0         162.91       0.022       25 24.85       14 58.99
2014 Jun 28 19:20:00.0         162.89       0.022       25 48.18       14 58.92
2014 Jun 28 19:25:00.0         162.86       0.022       26 12.94       14 58.85
2014 Jun 28 19:30:00.0         162.84       0.022       26 39.02       14 58.77
2014 Jun 28 19:35:00.0         162.81       0.022       27 06.33       14 58.69
2014 Jun 28 19:40:00.0         162.79       0.022       27 34.75       14 58.61
2014 Jun 28 19:45:00.0         162.76       0.022       28 04.20       14 58.52
2014 Jun 28 19:50:00.0         162.74       0.023       28 34.56       14 58.43
2014 Jun 28 19:55:00.0         162.71       0.023       29 05.76       14 58.33
2014 Jun 28 20:00:00.0         162.69       0.023       29 37.69       14 58.23
2014 Jun 28 20:05:00.0         162.66       0.023       30 10.27       14 58.12
2014 Jun 28 20:10:00.0         162.63       0.023       30 43.42       14 58.01
2014 Jun 28 20:15:00.0         162.61       0.023       31 17.06       14 57.90
2014 Jun 28 20:20:00.0         162.58       0.023       31 51.11       14 57.78
2014 Jun 28 20:25:00.0         162.55       0.023       32 25.51       14 57.66
2014 Jun 28 20:30:00.0         162.53       0.023       33 00.17       14 57.53
2014 Jun 28 20:35:00.0         162.50       0.023       33 35.03       14 57.40
2014 Jun 28 20:40:00.0         162.47       0.023       34 10.04       14 57.26
2014 Jun 28 20:45:00.0         162.45       0.023       34 45.14       14 57.13
2014 Jun 28 20:50:00.0         162.42       0.023       35 20.26       14 56.99
2014 Jun 28 20:55:00.0         162.39       0.023       35 55.35       14 56.84
2014 Jun 28 21:00:00.0         162.36       0.023       36 30.37       14 56.69
2014 Jun 28 21:05:00.0         162.34       0.024       37 05.27       14 56.54
2014 Jun 28 21:10:00.0         162.31       0.024       37 40.00       14 56.38
2014 Jun 28 21:15:00.0         162.28       0.024       38 14.52       14 56.22
2014 Jun 28 21:20:00.0         162.25       0.024       38 48.79       14 56.06
2014 Jun 28 21:25:00.0         162.22       0.024       39 22.76       14 55.89
2014 Jun 28 21:30:00.0         162.19       0.024       39 56.41       14 55.73
2014 Jun 28 21:35:00.0         162.16       0.024       40 29.70       14 55.55
2014 Jun 28 21:40:00.0         162.13       0.024       41 02.59       14 55.38
2014 Jun 28 21:45:00.0         162.10       0.024       41 35.06       14 55.20
2014 Jun 28 21:50:00.0         162.07       0.024       42 07.07       14 55.02
2014 Jun 28 21:55:00.0         162.04       0.024       42 38.60       14 54.83
2014 Jun 28 22:00:00.0         162.01       0.024       43 09.62       14 54.65
2014 Jun 28 22:05:00.0         161.98       0.025       43 40.11       14 54.46
2014 Jun 28 22:10:00.0         161.95       0.025       44 10.03       14 54.27
2014 Jun 28 22:15:00.0         161.92       0.025       44 39.38       14 54.07
2014 Jun 28 22:20:00.0         161.89       0.025       45 08.13       14 53.88
2014 Jun 28 22:25:00.0         161.86       0.025       45 36.25       14 53.68
2014 Jun 28 22:30:00.0         161.83       0.025       46 03.73       14 53.48
2014 Jun 28 22:35:00.0         161.79       0.025       46 30.55       14 53.27
2014 Jun 28 22:40:00.0         161.76       0.025       46 56.70       14 53.07
2014 Jun 28 22:45:00.0         161.73       0.025       47 22.16       14 52.86
2014 Jun 28 22:50:00.0         161.70       0.025       47 46.92       14 52.65
2014 Jun 28 22:55:00.0         161.66       0.025       48 10.95       14 52.44
2014 Jun 28 23:00:00.0         161.63       0.025       48 34.26       14 52.23
2014 Jun 28 23:05:00.0         161.59       0.026       48 56.82       14 52.01
2014 Jun 28 23:10:00.0         161.56       0.026       49 18.63       14 51.80
2014 Jun 28 23:15:00.0         161.53       0.026       49 39.68       14 51.58
2014 Jun 28 23:20:00.0         161.49       0.026       49 59.96       14 51.36
2014 Jun 28 23:25:00.0         161.46       0.026       50 19.45       14 51.14
2014 Jun 28 23:30:00.0         161.42       0.026       50 38.16       14 50.92
2014 Jun 28 23:35:00.0         161.39       0.026       50 56.08       14 50.70
2014 Jun 28 23:40:00.0         161.35       0.026       51 13.19       14 50.48
2014 Jun 28 23:45:00.0         161.31       0.026       51 29.51       14 50.26
2014 Jun 28 23:50:00.0         161.28       0.026       51 45.01       14 50.03
2014 Jun 28 23:55:00.0         161.24       0.027       51 59.71       14 49.81
2014 Jun 29 00:00:00.0         161.20       0.027       52 13.60       14 49.58
2014 Jun 29 00:05:00.0         161.17       0.027       52 26.67       14 49.36
2014 Jun 29 00:10:00.0         161.13       0.027       52 38.92       14 49.13
2014 Jun 29 00:15:00.0         161.09       0.027       52 50.36       14 48.91
2014 Jun 29 00:20:00.0         161.05       0.027       53 00.99       14 48.68
2014 Jun 29 00:25:00.0         161.02       0.027       53 10.81       14 48.45
2014 Jun 29 00:30:00.0         160.98       0.027       53 19.81       14 48.23
2014 Jun 29 00:35:00.0         160.94       0.027       53 28.01       14 48.00
2014 Jun 29 00:40:00.0         160.90       0.028       53 35.41       14 47.78
2014 Jun 29 00:45:00.0         160.86       0.028       53 42.01       14 47.55
2014 Jun 29 00:50:00.0         160.82       0.028       53 47.82       14 47.32
2014 Jun 29 00:55:00.0         160.78       0.028       53 52.83       14 47.10
2014 Jun 29 01:00:00.0         160.74       0.028       53 57.07       14 46.88
2014 Jun 29 01:05:00.0         160.70       0.028       54 00.54       14 46.65
2014 Jun 29 01:10:00.0         160.66       0.028       54 03.24       14 46.43
2014 Jun 29 01:15:00.0         160.62       0.028       54 05.19       14 46.21
2014 Jun 29 01:20:00.0         160.58       0.028       54 06.39       14 45.99
2014 Jun 29 01:25:00.0         160.54       0.029       54 06.86       14 45.77
2014 Jun 29 01:30:00.0         160.50       0.029       54 06.60       14 45.55
2014 Jun 29 01:35:00.0         160.45       0.029       54 05.63       14 45.33
2014 Jun 29 01:40:00.0         160.41       0.029       54 03.96       14 45.12
2014 Jun 29 01:45:00.0         160.37       0.029       54 01.61       14 44.90
2014 Jun 29 01:50:00.0         160.33       0.029       53 58.58       14 44.69
2014 Jun 29 01:55:00.0         160.28       0.029       53 54.89       14 44.48
2014 Jun 29 02:00:00.0         160.24       0.029       53 50.57       14 44.27
2014 Jun 29 02:05:00.0         160.20       0.030       53 45.61       14 44.06
2014 Jun 29 02:10:00.0         160.15       0.030       53 40.05       14 43.86
2014 Jun 29 02:15:00.0         160.11       0.030       53 33.90       14 43.66
2014 Jun 29 02:20:00.0         160.07       0.030       53 27.17       14 43.45
2014 Jun 29 02:25:00.0         160.02       0.030       53 19.89       14 43.25
2014 Jun 29 02:30:00.0         159.98       0.030       53 12.07       14 43.06
2014 Jun 29 02:35:00.0         159.93       0.030       53 03.74       14 42.86
2014 Jun 29 02:40:00.0         159.89       0.030       52 54.91       14 42.67
2014 Jun 29 02:45:00.0         159.84       0.031       52 45.62       14 42.48
2014 Jun 29 02:50:00.0         159.80       0.031       52 35.87       14 42.29
2014 Jun 29 02:55:00.0         159.75       0.031       52 25.70       14 42.11
2014 Jun 29 03:00:00.0         159.71       0.031       52 15.12       14 41.92
2014 Jun 29 03:05:00.0         159.66       0.031       52 04.17       14 41.74
2014 Jun 29 03:10:00.0         159.62       0.031       51 52.86       14 41.57
2014 Jun 29 03:15:00.0         159.57       0.031       51 41.22       14 41.39
2014 Jun 29 03:20:00.0         159.52       0.032       51 29.28       14 41.22
2014 Jun 29 03:25:00.0         159.48       0.032       51 17.07       14 41.05
2014 Jun 29 03:30:00.0         159.43       0.032       51 04.60       14 40.89
2014 Jun 29 03:35:00.0         159.38       0.032       50 51.92       14 40.73
2014 Jun 29 03:40:00.0         159.34       0.032       50 39.04       14 40.57
2014 Jun 29 03:45:00.0         159.29       0.032       50 26.00       14 40.41
2014 Jun 29 03:50:00.0         159.24       0.032       50 12.82       14 40.26
2014 Jun 29 03:55:00.0         159.19       0.033       49 59.54       14 40.11
2014 Jun 29 04:00:00.0         159.15       0.033       49 46.18       14 39.97
2014 Jun 29 04:05:00.0         159.10       0.033       49 32.78       14 39.82
2014 Jun 29 04:10:00.0         159.05       0.033       49 19.36       14 39.68
2014 Jun 29 04:15:00.0         159.00       0.033       49 05.96       14 39.55
2014 Jun 29 04:20:00.0         158.95       0.033       48 52.61       14 39.42
2014 Jun 29 04:25:00.0         158.90       0.034       48 39.33       14 39.29
2014 Jun 29 04:30:00.0         158.86       0.034       48 26.16       14 39.17
2014 Jun 29 04:35:00.0         158.81       0.034       48 13.14       14 39.05
2014 Jun 29 04:40:00.0         158.76       0.034       48 00.28       14 38.93
2014 Jun 29 04:45:00.0         158.71       0.034       47 47.63       14 38.82
2014 Jun 29 04:50:00.0         158.66       0.034       47 35.21       14 38.71
2014 Jun 29 04:55:00.0         158.61       0.034       47 23.06       14 38.61
2014 Jun 29 05:00:00.0         158.56       0.035       47 11.20       14 38.51
2014 Jun 29 05:05:00.0         158.51       0.035       46 59.66       14 38.41
2014 Jun 29 05:10:00.0         158.46       0.035       46 48.48       14 38.32
2014 Jun 29 05:15:00.0         158.41       0.035       46 37.68       14 38.23
2014 Jun 29 05:20:00.0         158.37       0.035       46 27.29       14 38.14
2014 Jun 29 05:25:00.0         158.32       0.035       46 17.34       14 38.06
2014 Jun 29 05:30:00.0         158.27       0.036       46 07.85       14 37.99
2014 Jun 29 05:35:00.0         158.22       0.036       45 58.86       14 37.92
2014 Jun 29 05:40:00.0         158.17       0.036       45 50.37       14 37.85
2014 Jun 29 05:45:00.0         158.12       0.036       45 42.42       14 37.79
2014 Jun 29 05:50:00.0         158.07       0.036       45 35.03       14 37.73
2014 Jun 29 05:55:00.0         158.02       0.036       45 28.21       14 37.67
2014 Jun 29 06:00:00.0         157.97       0.037       45 22.00       14 37.62
2014 Jun 29 06:05:00.0         157.92       0.037       45 16.39       14 37.58
2014 Jun 29 06:10:00.0         157.87       0.037       45 11.42       14 37.54
2014 Jun 29 06:15:00.0         157.82       0.037       45 07.09       14 37.50
2014 Jun 29 06:20:00.0         157.77       0.037       45 03.42       14 37.47
2014 Jun 29 06:25:00.0         157.72       0.037       45 00.41       14 37.44
2014 Jun 29 06:30:00.0         157.67       0.037       44 58.08       14 37.41
2014 Jun 29 06:35:00.0         157.62       0.038       44 56.43       14 37.39
2014 Jun 29 06:40:00.0         157.57       0.038       44 55.47       14 37.38
2014 Jun 29 06:45:00.0         157.52       0.038       44 55.19       14 37.37
2014 Jun 29 06:50:00.0         157.47       0.038       44 55.61       14 37.36
2014 Jun 29 06:55:00.0         157.42       0.038       44 56.71       14 37.36
2014 Jun 29 07:00:00.0         157.37       0.038       44 58.50       14 37.36
