                                    Sun                                   
     
                      Apparent Topocentric Positions                      
                        Local Zenith and True North                       
     
                         Cherry Springs State Park                        
              Location:  W 77°48'45.0", N41°39'52.6",   710m              
                (Longitude referred to Greenwich meridian)                
     
   Date        Time          Zenith          Azimuth         Distance
        (UT1)               Distance        (E of N)        to Object
             h  m   s         °               °                 AU
2014 Jun 28 07:35:00.0     107.37533        33.63542       1.016605258
2014 Jun 28 07:40:00.0     106.85108        34.70418       1.016604996
2014 Jun 28 07:45:00.0     106.31258        35.76217       1.016604723
2014 Jun 28 07:50:00.0     105.76017        36.80941       1.016604439
2014 Jun 28 07:55:00.0     105.19416        37.84591       1.016604143
2014 Jun 28 08:00:00.0     104.61488        38.87169       1.016603838
2014 Jun 28 08:05:00.0     104.02265        39.88682       1.016603521
2014 Jun 28 08:10:00.0     103.41779        40.89136       1.016603194
2014 Jun 28 08:15:00.0     102.80062        41.88541       1.016602857
2014 Jun 28 08:20:00.0     102.17146        42.86907       1.016602510
2014 Jun 28 08:25:00.0     101.53061        43.84245       1.016602154
2014 Jun 28 08:30:00.0     100.87837        44.80570       1.016601788
2014 Jun 28 08:35:00.0     100.21505        45.75894       1.016601413
2014 Jun 28 08:40:00.0      99.54095        46.70234       1.016601028
2014 Jun 28 08:45:00.0      98.85636        47.63606       1.016600635
2014 Jun 28 08:50:00.0      98.16157        48.56029       1.016600234
2014 Jun 28 08:55:00.0      97.45686        49.47521       1.016599824
2014 Jun 28 09:00:00.0      96.74251        50.38101       1.016599406
2014 Jun 28 09:05:00.0      96.01879        51.27790       1.016598980
2014 Jun 28 09:10:00.0      95.28597        52.16608       1.016598547
2014 Jun 28 09:15:00.0      94.54432        53.04579       1.016598106
2014 Jun 28 09:20:00.0      93.79408        53.91724       1.016597659
2014 Jun 28 09:25:00.0      93.03552        54.78066       1.016597204
2014 Jun 28 09:30:00.0      92.26888        55.63628       1.016596744
2014 Jun 28 09:35:00.0      91.49440        56.48436       1.016596277
2014 Jun 28 09:40:00.0      90.71233        57.32513       1.016595804
2014 Jun 28 09:45:00.0      89.92288        58.15884       1.016595325
2014 Jun 28 09:50:00.0      89.12630        58.98576       1.016594841
2014 Jun 28 09:55:00.0      88.32280        59.80613       1.016594352
2014 Jun 28 10:00:00.0      87.51260        60.62023       1.016593858
2014 Jun 28 10:05:00.0      86.69591        61.42831       1.016593360
2014 Jun 28 10:10:00.0      85.87295        62.23064       1.016592857
2014 Jun 28 10:15:00.0      85.04392        63.02751       1.016592350
2014 Jun 28 10:20:00.0      84.20901        63.81918       1.016591840
2014 Jun 28 10:25:00.0      83.36843        64.60594       1.016591326
2014 Jun 28 10:30:00.0      82.52236        65.38807       1.016590810
2014 Jun 28 10:35:00.0      81.67100        66.16585       1.016590290
2014 Jun 28 10:40:00.0      80.81453        66.93959       1.016589768
2014 Jun 28 10:45:00.0      79.95314        67.70958       1.016589244
2014 Jun 28 10:50:00.0      79.08699        68.47611       1.016588718
2014 Jun 28 10:55:00.0      78.21627        69.23950       1.016588190
2014 Jun 28 11:00:00.0      77.34114        70.00005       1.016587662
2014 Jun 28 11:05:00.0      76.46178        70.75807       1.016587132
2014 Jun 28 11:10:00.0      75.57836        71.51390       1.016586602
2014 Jun 28 11:15:00.0      74.69103        72.26785       1.016586071
2014 Jun 28 11:20:00.0      73.79997        73.02025       1.016585540
2014 Jun 28 11:25:00.0      72.90532        73.77146       1.016585009
2014 Jun 28 11:30:00.0      72.00726        74.52181       1.016584479
2014 Jun 28 11:35:00.0      71.10593        75.27166       1.016583950
2014 Jun 28 11:40:00.0      70.20150        76.02138       1.016583422
2014 Jun 28 11:45:00.0      69.29411        76.77135       1.016582896
2014 Jun 28 11:50:00.0      68.38393        77.52194       1.016582371
2014 Jun 28 11:55:00.0      67.47109        78.27356       1.016581848
2014 Jun 28 12:00:00.0      66.55577        79.02661       1.016581328
2014 Jun 28 12:05:00.0      65.63811        79.78151       1.016580811
2014 Jun 28 12:10:00.0      64.71826        80.53871       1.016580296
2014 Jun 28 12:15:00.0      63.79638        81.29866       1.016579785
2014 Jun 28 12:20:00.0      62.87261        82.06181       1.016579277
2014 Jun 28 12:25:00.0      61.94713        82.82867       1.016578773
2014 Jun 28 12:30:00.0      61.02008        83.59974       1.016578273
2014 Jun 28 12:35:00.0      60.09163        84.37555       1.016577778
2014 Jun 28 12:40:00.0      59.16193        85.15664       1.016577287
2014 Jun 28 12:45:00.0      58.23116        85.94361       1.016576802
2014 Jun 28 12:50:00.0      57.29947        86.73705       1.016576321
2014 Jun 28 12:55:00.0      56.36704        87.53759       1.016575847
2014 Jun 28 13:00:00.0      55.43405        88.34591       1.016575378
2014 Jun 28 13:05:00.0      54.50068        89.16271       1.016574915
2014 Jun 28 13:10:00.0      53.56711        89.98872       1.016574458
2014 Jun 28 13:15:00.0      52.63354        90.82473       1.016574009
2014 Jun 28 13:20:00.0      51.70017        91.67156       1.016573566
2014 Jun 28 13:25:00.0      50.76720        92.53008       1.016573130
2014 Jun 28 13:30:00.0      49.83486        93.40123       1.016572702
2014 Jun 28 13:35:00.0      48.90336        94.28597       1.016572282
2014 Jun 28 13:40:00.0      47.97296        95.18537       1.016571869
2014 Jun 28 13:45:00.0      47.04388        96.10052       1.016571465
2014 Jun 28 13:50:00.0      46.11641        97.03262       1.016571069
2014 Jun 28 13:55:00.0      45.19082        97.98292       1.016570682
2014 Jun 28 14:00:00.0      44.26740        98.95278       1.016570303
2014 Jun 28 14:05:00.0      43.34647        99.94364       1.016569934
2014 Jun 28 14:10:00.0      42.42836       100.95704       1.016569574
2014 Jun 28 14:15:00.0      41.51343       101.99463       1.016569224
2014 Jun 28 14:20:00.0      40.60206       103.05819       1.016568884
2014 Jun 28 14:25:00.0      39.69465       104.14963       1.016568553
2014 Jun 28 14:30:00.0      38.79166       105.27097       1.016568233
2014 Jun 28 14:35:00.0      37.89355       106.42443       1.016567923
2014 Jun 28 14:40:00.0      37.00084       107.61234       1.016567624
2014 Jun 28 14:45:00.0      36.11407       108.83724       1.016567336
2014 Jun 28 14:50:00.0      35.23386       110.10185       1.016567059
2014 Jun 28 14:55:00.0      34.36086       111.40908       1.016566792
2014 Jun 28 15:00:00.0      33.49577       112.76208       1.016566538
2014 Jun 28 15:05:00.0      32.63937       114.16418       1.016566295
2014 Jun 28 15:10:00.0      31.79250       115.61899       1.016566063
2014 Jun 28 15:15:00.0      30.95609       117.13033       1.016565843
2014 Jun 28 15:20:00.0      30.13114       118.70230       1.016565636
2014 Jun 28 15:25:00.0      29.31875       120.33921       1.016565440
2014 Jun 28 15:30:00.0      28.52012       122.04565       1.016565257
2014 Jun 28 15:35:00.0      27.73658       123.82643       1.016565087
2014 Jun 28 15:40:00.0      26.96955       125.68655       1.016564928
2014 Jun 28 15:45:00.0      26.22062       127.63119       1.016564783
2014 Jun 28 15:50:00.0      25.49149       129.66563       1.016564650
2014 Jun 28 15:55:00.0      24.78402       131.79517       1.016564531
2014 Jun 28 16:00:00.0      24.10023       134.02504       1.016564424
2014 Jun 28 16:05:00.0      23.44230       136.36024       1.016564331
2014 Jun 28 16:10:00.0      22.81257       138.80537       1.016564251
2014 Jun 28 16:15:00.0      22.21352       141.36440       1.016564184
2014 Jun 28 16:20:00.0      21.64781       144.04045       1.016564130
2014 Jun 28 16:25:00.0      21.11819       146.83544       1.016564090
2014 Jun 28 16:30:00.0      20.62751       149.74982       1.016564064
2014 Jun 28 16:35:00.0      20.17871       152.78221       1.016564051
2014 Jun 28 16:40:00.0      19.77469       155.92904       1.016564052
2014 Jun 28 16:45:00.0      19.41830       159.18432       1.016564066
2014 Jun 28 16:50:00.0      19.11227       162.53938       1.016564094
2014 Jun 28 16:55:00.0      18.85910       165.98279       1.016564137
2014 Jun 28 17:00:00.0      18.66097       169.50042       1.016564192
2014 Jun 28 17:05:00.0      18.51967       173.07566       1.016564262
2014 Jun 28 17:10:00.0      18.43653       176.68988       1.016564346
2014 Jun 28 17:15:00.0      18.41236       180.32298       1.016564443
2014 Jun 28 17:20:00.0      18.44739       183.95418       1.016564555
2014 Jun 28 17:25:00.0      18.54127       187.56273       1.016564680
2014 Jun 28 17:30:00.0      18.69311       191.12877       1.016564819
2014 Jun 28 17:35:00.0      18.90150       194.63398       1.016564972
2014 Jun 28 17:40:00.0      19.16455       198.06219       1.016565139
2014 Jun 28 17:45:00.0      19.48003       201.39976       1.016565319
2014 Jun 28 17:50:00.0      19.84537       204.63576       1.016565514
2014 Jun 28 17:55:00.0      20.25784       207.76201       1.016565722
2014 Jun 28 18:00:00.0      20.71457       210.77299       1.016565943
2014 Jun 28 18:05:00.0      21.21263       213.66556       1.016566178
2014 Jun 28 18:10:00.0      21.74912       216.43869       1.016566427
2014 Jun 28 18:15:00.0      22.32119       219.09313       1.016566690
2014 Jun 28 18:20:00.0      22.92609       221.63104       1.016566965
2014 Jun 28 18:25:00.0      23.56122       224.05571       1.016567254
2014 Jun 28 18:30:00.0      24.22411       226.37125       1.016567556
2014 Jun 28 18:35:00.0      24.91245       228.58236       1.016567872
2014 Jun 28 18:40:00.0      25.62410       230.69408       1.016568200
2014 Jun 28 18:45:00.0      26.35706       232.71166       1.016568541
2014 Jun 28 18:50:00.0      27.10950       234.64041       1.016568895
2014 Jun 28 18:55:00.0      27.87973       236.48559       1.016569262
2014 Jun 28 19:00:00.0      28.66622       238.25236       1.016569642
2014 Jun 28 19:05:00.0      29.46755       239.94569       1.016570033
2014 Jun 28 19:10:00.0      30.28241       241.57035       1.016570437
2014 Jun 28 19:15:00.0      31.10963       243.13086       1.016570854
2014 Jun 28 19:20:00.0      31.94812       244.63152       1.016571282
2014 Jun 28 19:25:00.0      32.79690       246.07636       1.016571722
2014 Jun 28 19:30:00.0      33.65506       247.46917       1.016572173
2014 Jun 28 19:35:00.0      34.52176       248.81349       1.016572637
2014 Jun 28 19:40:00.0      35.39624       250.11265       1.016573111
2014 Jun 28 19:45:00.0      36.27782       251.36973       1.016573597
2014 Jun 28 19:50:00.0      37.16583       252.58761       1.016574094
2014 Jun 28 19:55:00.0      38.05969       253.76898       1.016574601
2014 Jun 28 20:00:00.0      38.95886       254.91632       1.016575119
2014 Jun 28 20:05:00.0      39.86283       256.03197       1.016575648
2014 Jun 28 20:10:00.0      40.77113       257.11810       1.016576186
2014 Jun 28 20:15:00.0      41.68332       258.17671       1.016576735
2014 Jun 28 20:20:00.0      42.59901       259.20968       1.016577293
2014 Jun 28 20:25:00.0      43.51781       260.21876       1.016577861
2014 Jun 28 20:30:00.0      44.43938       261.20559       1.016578439
2014 Jun 28 20:35:00.0      45.36337       262.17170       1.016579025
2014 Jun 28 20:40:00.0      46.28950       263.11850       1.016579621
2014 Jun 28 20:45:00.0      47.21745       264.04732       1.016580224
2014 Jun 28 20:50:00.0      48.14696       264.95943       1.016580837
2014 Jun 28 20:55:00.0      49.07776       265.85598       1.016581457
2014 Jun 28 21:00:00.0      50.00961       266.73808       1.016582086
2014 Jun 28 21:05:00.0      50.94227       267.60676       1.016582722
2014 Jun 28 21:10:00.0      51.87552       268.46300       1.016583365
2014 Jun 28 21:15:00.0      52.80914       269.30769       1.016584016
2014 Jun 28 21:20:00.0      53.74293       270.14173       1.016584674
2014 Jun 28 21:25:00.0      54.67669       270.96590       1.016585338
2014 Jun 28 21:30:00.0      55.61021       271.78100       1.016586008
2014 Jun 28 21:35:00.0      56.54333       272.58776       1.016586685
2014 Jun 28 21:40:00.0      57.47586       273.38686       1.016587367
2014 Jun 28 21:45:00.0      58.40762       274.17897       1.016588055
2014 Jun 28 21:50:00.0      59.33845       274.96471       1.016588748
2014 Jun 28 21:55:00.0      60.26817       275.74470       1.016589446
2014 Jun 28 22:00:00.0      61.19662       276.51950       1.016590149
2014 Jun 28 22:05:00.0      62.12365       277.28965       1.016590856
2014 Jun 28 22:10:00.0      63.04908       278.05569       1.016591567
2014 Jun 28 22:15:00.0      63.97277       278.81812       1.016592282
2014 Jun 28 22:20:00.0      64.89456       279.57742       1.016593001
2014 Jun 28 22:25:00.0      65.81430       280.33406       1.016593723
2014 Jun 28 22:30:00.0      66.73183       281.08848       1.016594448
2014 Jun 28 22:35:00.0      67.64699       281.84113       1.016595175
2014 Jun 28 22:40:00.0      68.55964       282.59242       1.016595905
2014 Jun 28 22:45:00.0      69.46963       283.34275       1.016596636
2014 Jun 28 22:50:00.0      70.37679       284.09253       1.016597370
2014 Jun 28 22:55:00.0      71.28098       284.84214       1.016598105
2014 Jun 28 23:00:00.0      72.18204       285.59194       1.016598841
2014 Jun 28 23:05:00.0      73.07981       286.34231       1.016599578
2014 Jun 28 23:10:00.0      73.97415       287.09359       1.016600315
2014 Jun 28 23:15:00.0      74.86488       287.84614       1.016601052
2014 Jun 28 23:20:00.0      75.75185       288.60029       1.016601790
2014 Jun 28 23:25:00.0      76.63489       289.35638       1.016602527
2014 Jun 28 23:30:00.0      77.51385       290.11473       1.016603263
2014 Jun 28 23:35:00.0      78.38854       290.87566       1.016603999
2014 Jun 28 23:40:00.0      79.25882       291.63949       1.016604733
2014 Jun 28 23:45:00.0      80.12449       292.40652       1.016605465
2014 Jun 28 23:50:00.0      80.98539       293.17706       1.016606196
2014 Jun 28 23:55:00.0      81.84133       293.95141       1.016606924
2014 Jun 29 00:00:00.0      82.69214       294.72986       1.016607650
2014 Jun 29 00:05:00.0      83.53762       295.51271       1.016608373
2014 Jun 29 00:10:00.0      84.37760       296.30025       1.016609093
2014 Jun 29 00:15:00.0      85.21187       297.09275       1.016609809
2014 Jun 29 00:20:00.0      86.04024       297.89049       1.016610522
2014 Jun 29 00:25:00.0      86.86251       298.69376       1.016611231
2014 Jun 29 00:30:00.0      87.67847       299.50283       1.016611935
2014 Jun 29 00:35:00.0      88.48792       300.31797       1.016612635
2014 Jun 29 00:40:00.0      89.29064       301.13943       1.016613330
2014 Jun 29 00:45:00.0      90.08640       301.96749       1.016614020
2014 Jun 29 00:50:00.0      90.87499       302.80241       1.016614705
2014 Jun 29 00:55:00.0      91.65619       303.64443       1.016615383
2014 Jun 29 01:00:00.0      92.42974       304.49381       1.016616056
2014 Jun 29 01:05:00.0      93.19543       305.35078       1.016616723
2014 Jun 29 01:10:00.0      93.95299       306.21561       1.016617383
2014 Jun 29 01:15:00.0      94.70220       307.08851       1.016618036
2014 Jun 29 01:20:00.0      95.44278       307.96971       1.016618682
2014 Jun 29 01:25:00.0      96.17449       308.85945       1.016619321
2014 Jun 29 01:30:00.0      96.89706       309.75794       1.016619952
2014 Jun 29 01:35:00.0      97.61021       310.66539       1.016620575
2014 Jun 29 01:40:00.0      98.31369       311.58200       1.016621191
2014 Jun 29 01:45:00.0      99.00720       312.50797       1.016621798
2014 Jun 29 01:50:00.0      99.69046       313.44348       1.016622396
2014 Jun 29 01:55:00.0     100.36319       314.38872       1.016622986
2014 Jun 29 02:00:00.0     101.02508       315.34383       1.016623566
2014 Jun 29 02:05:00.0     101.67585       316.30899       1.016624137
2014 Jun 29 02:10:00.0     102.31519       317.28433       1.016624699
2014 Jun 29 02:15:00.0     102.94278       318.26998       1.016625251
2014 Jun 29 02:20:00.0     103.55833       319.26606       1.016625793
2014 Jun 29 02:25:00.0     104.16152       320.27267       1.016626325
2014 Jun 29 02:30:00.0     104.75202       321.28990       1.016626847
2014 Jun 29 02:35:00.0     105.32952       322.31781       1.016627358
2014 Jun 29 02:40:00.0     105.89370       323.35647       1.016627858
2014 Jun 29 02:45:00.0     106.44422       324.40589       1.016628347
2014 Jun 29 02:50:00.0     106.98077       325.46609       1.016628825
2014 Jun 29 02:55:00.0     107.50302       326.53707       1.016629292
2014 Jun 29 03:00:00.0     108.01064       327.61880       1.016629747
2014 Jun 29 03:05:00.0     108.50329       328.71122       1.016630191
2014 Jun 29 03:10:00.0     108.98066       329.81426       1.016630622
2014 Jun 29 03:15:00.0     109.44242       330.92783       1.016631042
2014 Jun 29 03:20:00.0     109.88825       332.05179       1.016631450
2014 Jun 29 03:25:00.0     110.31783       333.18599       1.016631845
2014 Jun 29 03:30:00.0     110.73083       334.33027       1.016632228
2014 Jun 29 03:35:00.0     111.12696       335.48441       1.016632598
2014 Jun 29 03:40:00.0     111.50591       336.64818       1.016632955
2014 Jun 29 03:45:00.0     111.86738       337.82132       1.016633300
2014 Jun 29 03:50:00.0     112.21108       339.00356       1.016633632
2014 Jun 29 03:55:00.0     112.53672       340.19456       1.016633950
2014 Jun 29 04:00:00.0     112.84404       341.39399       1.016634256
2014 Jun 29 04:05:00.0     113.13278       342.60147       1.016634548
2014 Jun 29 04:10:00.0     113.40268       343.81662       1.016634827
2014 Jun 29 04:15:00.0     113.65351       345.03900       1.016635092
2014 Jun 29 04:20:00.0     113.88504       346.26817       1.016635344
2014 Jun 29 04:25:00.0     114.09707       347.50365       1.016635582
2014 Jun 29 04:30:00.0     114.28939       348.74494       1.016635806
2014 Jun 29 04:35:00.0     114.46183       349.99153       1.016636017
2014 Jun 29 04:40:00.0     114.61423       351.24288       1.016636214
2014 Jun 29 04:45:00.0     114.74645       352.49843       1.016636397
2014 Jun 29 04:50:00.0     114.85835       353.75760       1.016636566
2014 Jun 29 04:55:00.0     114.94983       355.01982       1.016636721
2014 Jun 29 05:00:00.0     115.02080       356.28447       1.016636862
