                                   Moon                                   
     
                      Apparent Topocentric Positions                      
                        Local Zenith and True North                       
     
                       David Rittenhouse Laboratory                       
              Location:  W 75°11'20.4", N39°57'08.1",    12m              
                (Longitude referred to Greenwich meridian)                
     
   Date        Time          Zenith          Azimuth         Distance
        (UT1)               Distance        (E of N)        to Object
             h  m   s         °               °                 km
2014 Jun 28 07:50:00.0     116.93232        32.41755        406309.892
2014 Jun 28 07:55:00.0     116.43580        33.57485        406266.557
2014 Jun 28 08:00:00.0     115.92377        34.71887        406221.441
2014 Jun 28 08:05:00.0     115.39661        35.84956        406174.565
2014 Jun 28 08:10:00.0     114.85469        36.96691        406125.954
2014 Jun 28 08:15:00.0     114.29839        38.07094        406075.630
2014 Jun 28 08:20:00.0     113.72808        39.16170        406023.619
2014 Jun 28 08:25:00.0     113.14412        40.23926        405969.945
2014 Jun 28 08:30:00.0     112.54688        41.30370        405914.636
2014 Jun 28 08:35:00.0     111.93673        42.35515        405857.718
2014 Jun 28 08:40:00.0     111.31402        43.39374        405799.219
2014 Jun 28 08:45:00.0     110.67909        44.41963        405739.166
2014 Jun 28 08:50:00.0     110.03230        45.43299        405677.588
2014 Jun 28 08:55:00.0     109.37397        46.43401        405614.517
2014 Jun 28 09:00:00.0     108.70446        47.42288        405549.980
2014 Jun 28 09:05:00.0     108.02407        48.39984        405484.010
2014 Jun 28 09:10:00.0     107.33314        49.36510        405416.639
2014 Jun 28 09:15:00.0     106.63198        50.31891        405347.898
2014 Jun 28 09:20:00.0     105.92088        51.26151        405277.819
2014 Jun 28 09:25:00.0     105.20017        52.19317        405206.438
2014 Jun 28 09:30:00.0     104.47013        53.11414        405133.787
2014 Jun 28 09:35:00.0     103.73104        54.02470        405059.901
2014 Jun 28 09:40:00.0     102.98319        54.92513        404984.816
2014 Jun 28 09:45:00.0     102.22685        55.81572        404908.566
2014 Jun 28 09:50:00.0     101.46229        56.69674        404831.189
2014 Jun 28 09:55:00.0     100.68977        57.56849        404752.721
2014 Jun 28 10:00:00.0      99.90955        58.43128        404673.199
2014 Jun 28 10:05:00.0      99.12187        59.28539        404592.661
2014 Jun 28 10:10:00.0      98.32698        60.13113        404511.145
2014 Jun 28 10:15:00.0      97.52511        60.96880        404428.690
2014 Jun 28 10:20:00.0      96.71650        61.79871        404345.335
2014 Jun 28 10:25:00.0      95.90136        62.62117        404261.119
2014 Jun 28 10:30:00.0      95.07993        63.43648        404176.082
2014 Jun 28 10:35:00.0      94.25241        64.24496        404090.265
2014 Jun 28 10:40:00.0      93.41901        65.04691        404003.709
2014 Jun 28 10:45:00.0      92.57994        65.84266        403916.453
2014 Jun 28 10:50:00.0      91.73540        66.63251        403828.541
2014 Jun 28 10:55:00.0      90.88558        67.41678        403740.012
2014 Jun 28 11:00:00.0      90.03068        68.19579        403650.911
2014 Jun 28 11:05:00.0      89.17087        68.96986        403561.277
2014 Jun 28 11:10:00.0      88.30636        69.73930        403471.155
2014 Jun 28 11:15:00.0      87.43731        70.50443        403380.587
2014 Jun 28 11:20:00.0      86.56390        71.26559        403289.616
2014 Jun 28 11:25:00.0      85.68630        72.02308        403198.285
2014 Jun 28 11:30:00.0      84.80469        72.77725        403106.638
2014 Jun 28 11:35:00.0      83.91923        73.52843        403014.718
2014 Jun 28 11:40:00.0      83.03008        74.27693        402922.568
2014 Jun 28 11:45:00.0      82.13741        75.02311        402830.234
2014 Jun 28 11:50:00.0      81.24138        75.76730        402737.758
2014 Jun 28 11:55:00.0      80.34214        76.50984        402645.186
2014 Jun 28 12:00:00.0      79.43986        77.25109        402552.560
2014 Jun 28 12:05:00.0      78.53469        77.99139        402459.926
2014 Jun 28 12:10:00.0      77.62677        78.73111        402367.327
2014 Jun 28 12:15:00.0      76.71627        79.47062        402274.808
2014 Jun 28 12:20:00.0      75.80334        80.21028        402182.413
2014 Jun 28 12:25:00.0      74.88813        80.95047        402090.187
2014 Jun 28 12:30:00.0      73.97078        81.69159        401998.173
2014 Jun 28 12:35:00.0      73.05146        82.43402        401906.416
2014 Jun 28 12:40:00.0      72.13031        83.17818        401814.960
2014 Jun 28 12:45:00.0      71.20749        83.92449        401723.848
2014 Jun 28 12:50:00.0      70.28315        84.67336        401633.125
2014 Jun 28 12:55:00.0      69.35745        85.42525        401542.834
2014 Jun 28 13:00:00.0      68.43054        86.18060        401453.019
2014 Jun 28 13:05:00.0      67.50259        86.93989        401363.723
2014 Jun 28 13:10:00.0      66.57375        87.70360        401274.990
2014 Jun 28 13:15:00.0      65.64419        88.47223        401186.862
2014 Jun 28 13:20:00.0      64.71407        89.24630        401099.382
2014 Jun 28 13:25:00.0      63.78357        90.02635        401012.592
2014 Jun 28 13:30:00.0      62.85286        90.81293        400926.534
2014 Jun 28 13:35:00.0      61.92213        91.60664        400841.252
2014 Jun 28 13:40:00.0      60.99155        92.40808        400756.784
2014 Jun 28 13:45:00.0      60.06133        93.21788        400673.175
2014 Jun 28 13:50:00.0      59.13165        94.03671        400590.463
2014 Jun 28 13:55:00.0      58.20272        94.86525        400508.689
2014 Jun 28 14:00:00.0      57.27475        95.70423        400427.894
2014 Jun 28 14:05:00.0      56.34796        96.55442        400348.116
2014 Jun 28 14:10:00.0      55.42259        97.41661        400269.396
2014 Jun 28 14:15:00.0      54.49887        98.29162        400191.772
2014 Jun 28 14:20:00.0      53.57705        99.18036        400115.283
2014 Jun 28 14:25:00.0      52.65740       100.08373        400039.965
2014 Jun 28 14:30:00.0      51.74020       101.00272        399965.856
2014 Jun 28 14:35:00.0      50.82573       101.93835        399892.994
2014 Jun 28 14:40:00.0      49.91430       102.89170        399821.414
2014 Jun 28 14:45:00.0      49.00624       103.86392        399751.151
2014 Jun 28 14:50:00.0      48.10189       104.85621        399682.242
2014 Jun 28 14:55:00.0      47.20161       105.86984        399614.719
2014 Jun 28 15:00:00.0      46.30579       106.90615        399548.618
2014 Jun 28 15:05:00.0      45.41484       107.96657        399483.971
2014 Jun 28 15:10:00.0      44.52919       109.05259        399420.812
2014 Jun 28 15:15:00.0      43.64931       110.16578        399359.171
2014 Jun 28 15:20:00.0      42.77570       111.30782        399299.079
2014 Jun 28 15:25:00.0      41.90889       112.48046        399240.569
2014 Jun 28 15:30:00.0      41.04943       113.68556        399183.669
2014 Jun 28 15:35:00.0      40.19795       114.92506        399128.408
2014 Jun 28 15:40:00.0      39.35508       116.20100        399074.815
2014 Jun 28 15:45:00.0      38.52153       117.51554        399022.917
2014 Jun 28 15:50:00.0      37.69803       118.87090        398972.742
2014 Jun 28 15:55:00.0      36.88539       120.26944        398924.314
2014 Jun 28 16:00:00.0      36.08447       121.71357        398877.661
2014 Jun 28 16:05:00.0      35.29617       123.20580        398832.805
2014 Jun 28 16:10:00.0      34.52149       124.74873        398789.770
2014 Jun 28 16:15:00.0      33.76148       126.34499        398748.580
2014 Jun 28 16:20:00.0      33.01726       127.99725        398709.256
2014 Jun 28 16:25:00.0      32.29003       129.70820        398671.820
2014 Jun 28 16:30:00.0      31.58109       131.48051        398636.291
2014 Jun 28 16:35:00.0      30.89179       133.31677        398602.689
2014 Jun 28 16:40:00.0      30.22357       135.21947        398571.033
2014 Jun 28 16:45:00.0      29.57797       137.19093        398541.340
2014 Jun 28 16:50:00.0      28.95659       139.23321        398513.626
2014 Jun 28 16:55:00.0      28.36112       141.34807        398487.908
2014 Jun 28 17:00:00.0      27.79330       143.53684        398464.200
2014 Jun 28 17:05:00.0      27.25496       145.80036        398442.516
2014 Jun 28 17:10:00.0      26.74795       148.13885        398422.870
2014 Jun 28 17:15:00.0      26.27416       150.55181        398405.273
2014 Jun 28 17:20:00.0      25.83548       153.03790        398389.736
2014 Jun 28 17:25:00.0      25.43381       155.59488        398376.270
2014 Jun 28 17:30:00.0      25.07098       158.21949        398364.884
2014 Jun 28 17:35:00.0      24.74875       160.90741        398355.585
2014 Jun 28 17:40:00.0      24.46879       163.65320        398348.382
2014 Jun 28 17:45:00.0      24.23259       166.45035        398343.281
2014 Jun 28 17:50:00.0      24.04149       169.29130        398340.286
2014 Jun 28 17:55:00.0      23.89660       172.16755        398339.403
2014 Jun 28 18:00:00.0      23.79880       175.06980        398340.634
2014 Jun 28 18:05:00.0      23.74868       177.98813        398343.982
2014 Jun 28 18:10:00.0      23.74657       180.91225        398349.449
2014 Jun 28 18:15:00.0      23.79248       183.83173        398357.034
2014 Jun 28 18:20:00.0      23.88615       186.73622        398366.738
2014 Jun 28 18:25:00.0      24.02701       189.61578        398378.558
2014 Jun 28 18:30:00.0      24.21422       192.46101        398392.492
2014 Jun 28 18:35:00.0      24.44671       195.26331        398408.537
2014 Jun 28 18:40:00.0      24.72319       198.01501        398426.689
2014 Jun 28 18:45:00.0      25.04215       200.70945        398446.941
2014 Jun 28 18:50:00.0      25.40199       203.34109        398469.287
2014 Jun 28 18:55:00.0      25.80094       205.90548        398493.720
2014 Jun 28 19:00:00.0      26.23718       208.39922        398520.232
2014 Jun 28 19:05:00.0      26.70884       210.81997        398548.813
2014 Jun 28 19:10:00.0      27.21402       213.16628        398579.452
2014 Jun 28 19:15:00.0      27.75085       215.43756        398612.140
2014 Jun 28 19:20:00.0      28.31745       217.63396        398646.862
2014 Jun 28 19:25:00.0      28.91202       219.75624        398683.608
2014 Jun 28 19:30:00.0      29.53280       221.80569        398722.361
2014 Jun 28 19:35:00.0      30.17809       223.78401        398763.107
2014 Jun 28 19:40:00.0      30.84630       225.69324        398805.831
2014 Jun 28 19:45:00.0      31.53588       227.53567        398850.515
2014 Jun 28 19:50:00.0      32.24537       229.31377        398897.142
2014 Jun 28 19:55:00.0      32.97342       231.03012        398945.693
2014 Jun 28 20:00:00.0      33.71873       232.68739        398996.148
2014 Jun 28 20:05:00.0      34.48009       234.28827        399048.488
2014 Jun 28 20:10:00.0      35.25638       235.83542        399102.690
2014 Jun 28 20:15:00.0      36.04652       237.33149        399158.734
2014 Jun 28 20:20:00.0      36.84953       238.77908        399216.595
2014 Jun 28 20:25:00.0      37.66449       240.18070        399276.250
2014 Jun 28 20:30:00.0      38.49054       241.53879        399337.675
2014 Jun 28 20:35:00.0      39.32687       242.85569        399400.843
2014 Jun 28 20:40:00.0      40.17274       244.13367        399465.729
2014 Jun 28 20:45:00.0      41.02744       245.37488        399532.306
2014 Jun 28 20:50:00.0      41.89032       246.58136        399600.546
2014 Jun 28 20:55:00.0      42.76077       247.75509        399670.421
2014 Jun 28 21:00:00.0      43.63823       248.89791        399741.900
2014 Jun 28 21:05:00.0      44.52216       250.01161        399814.955
2014 Jun 28 21:10:00.0      45.41207       251.09785        399889.554
2014 Jun 28 21:15:00.0      46.30748       252.15822        399965.667
2014 Jun 28 21:20:00.0      47.20796       253.19424        400043.260
2014 Jun 28 21:25:00.0      48.11310       254.20732        400122.302
2014 Jun 28 21:30:00.0      49.02251       255.19882        400202.758
2014 Jun 28 21:35:00.0      49.93583       256.17003        400284.595
2014 Jun 28 21:40:00.0      50.85271       257.12214        400367.778
2014 Jun 28 21:45:00.0      51.77284       258.05631        400452.272
2014 Jun 28 21:50:00.0      52.69590       258.97363        400538.041
2014 Jun 28 21:55:00.0      53.62160       259.87512        400625.049
2014 Jun 28 22:00:00.0      54.54967       260.76178        400713.258
2014 Jun 28 22:05:00.0      55.47984       261.63453        400802.631
2014 Jun 28 22:10:00.0      56.41187       262.49426        400893.131
2014 Jun 28 22:15:00.0      57.34551       263.34181        400984.718
2014 Jun 28 22:20:00.0      58.28054       264.17797        401077.354
2014 Jun 28 22:25:00.0      59.21674       265.00352        401170.999
2014 Jun 28 22:30:00.0      60.15389       265.81918        401265.613
2014 Jun 28 22:35:00.0      61.09180       266.62564        401361.157
2014 Jun 28 22:40:00.0      62.03027       267.42358        401457.588
2014 Jun 28 22:45:00.0      62.96911       268.21363        401554.868
2014 Jun 28 22:50:00.0      63.90814       268.99641        401652.953
2014 Jun 28 22:55:00.0      64.84717       269.77249        401751.802
2014 Jun 28 23:00:00.0      65.78605       270.54244        401851.373
2014 Jun 28 23:05:00.0      66.72459       271.30680        401951.623
2014 Jun 28 23:10:00.0      67.66264       272.06610        402052.511
2014 Jun 28 23:15:00.0      68.60002       272.82084        402153.992
2014 Jun 28 23:20:00.0      69.53659       273.57150        402256.024
2014 Jun 28 23:25:00.0      70.47219       274.31857        402358.563
2014 Jun 28 23:30:00.0      71.40667       275.06249        402461.566
2014 Jun 28 23:35:00.0      72.33986       275.80371        402564.989
2014 Jun 28 23:40:00.0      73.27163       276.54266        402668.788
2014 Jun 28 23:45:00.0      74.20181       277.27977        402772.918
2014 Jun 28 23:50:00.0      75.13027       278.01543        402877.336
2014 Jun 28 23:55:00.0      76.05686       278.75006        402981.997
2014 Jun 29 00:00:00.0      76.98142       279.48404        403086.857
