                                   Moon                                   
     
                      Apparent Topocentric Positions                      
                        Local Zenith and True North                       
     
                         Cherry Springs State Park                        
              Location:  W 77°48'45.0", N41°39'52.6",   710m              
                (Longitude referred to Greenwich meridian)                
     
   Date        Time          Zenith          Azimuth         Distance
        (UT1)               Distance        (E of N)        to Object
             h  m   s         °               °                 km
2014 Jun 28 07:50:00.0     116.48765        29.44797        406266.163
2014 Jun 28 07:55:00.0     116.04350        30.62748        406227.914
2014 Jun 28 08:00:00.0     115.58344        31.79507        406187.882
2014 Jun 28 08:05:00.0     115.10782        32.95063        406146.089
2014 Jun 28 08:10:00.0     114.61700        34.09407        406102.555
2014 Jun 28 08:15:00.0     114.11133        35.22533        406057.302
2014 Jun 28 08:20:00.0     113.59115        36.34438        406010.352
2014 Jun 28 08:25:00.0     113.05681        37.45120        405961.729
2014 Jun 28 08:30:00.0     112.50866        38.54582        405911.456
2014 Jun 28 08:35:00.0     111.94705        39.62828        405859.558
2014 Jun 28 08:40:00.0     111.37232        40.69865        405806.061
2014 Jun 28 08:45:00.0     110.78481        41.75701        405750.991
2014 Jun 28 08:50:00.0     110.18486        42.80347        405694.373
2014 Jun 28 08:55:00.0     109.57279        43.83815        405636.237
2014 Jun 28 09:00:00.0     108.94895        44.86120        405576.610
2014 Jun 28 09:05:00.0     108.31366        45.87278        405515.520
2014 Jun 28 09:10:00.0     107.66722        46.87306        405452.998
2014 Jun 28 09:15:00.0     107.00996        47.86222        405389.073
2014 Jun 28 09:20:00.0     106.34219        48.84047        405323.775
2014 Jun 28 09:25:00.0     105.66421        49.80801        405257.138
2014 Jun 28 09:30:00.0     104.97631        50.76506        405189.191
2014 Jun 28 09:35:00.0     104.27879        51.71186        405119.968
2014 Jun 28 09:40:00.0     103.57193        52.64865        405049.502
2014 Jun 28 09:45:00.0     102.85602        53.57567        404977.827
2014 Jun 28 09:50:00.0     102.13132        54.49317        404904.976
2014 Jun 28 09:55:00.0     101.39812        55.40141        404830.984
2014 Jun 28 10:00:00.0     100.65666        56.30067        404755.887
2014 Jun 28 10:05:00.0      99.90721        57.19120        404679.721
2014 Jun 28 10:10:00.0      99.15001        58.07329        404602.521
2014 Jun 28 10:15:00.0      98.38533        58.94721        404524.325
2014 Jun 28 10:20:00.0      97.61338        59.81325        404445.169
2014 Jun 28 10:25:00.0      96.83442        60.67169        404365.092
2014 Jun 28 10:30:00.0      96.04866        61.52282        404284.131
2014 Jun 28 10:35:00.0      95.25634        62.36693        404202.324
2014 Jun 28 10:40:00.0      94.45767        63.20433        404119.711
2014 Jun 28 10:45:00.0      93.65287        64.03529        404036.331
2014 Jun 28 10:50:00.0      92.84216        64.86013        403952.223
2014 Jun 28 10:55:00.0      92.02572        65.67914        403867.428
2014 Jun 28 11:00:00.0      91.20378        66.49263        403781.986
2014 Jun 28 11:05:00.0      90.37652        67.30091        403695.936
2014 Jun 28 11:10:00.0      89.54414        68.10427        403609.321
2014 Jun 28 11:15:00.0      88.70684        68.90303        403522.182
2014 Jun 28 11:20:00.0      87.86478        69.69751        403434.559
2014 Jun 28 11:25:00.0      87.01817        70.48800        403346.495
2014 Jun 28 11:30:00.0      86.16718        71.27485        403258.031
2014 Jun 28 11:35:00.0      85.31198        72.05835        403169.210
2014 Jun 28 11:40:00.0      84.45276        72.83883        403080.073
2014 Jun 28 11:45:00.0      83.58968        73.61663        402990.664
2014 Jun 28 11:50:00.0      82.72291        74.39206        402901.025
2014 Jun 28 11:55:00.0      81.85262        75.16547        402811.199
2014 Jun 28 12:00:00.0      80.97898        75.93719        402721.228
2014 Jun 28 12:05:00.0      80.10215        76.70756        402631.156
2014 Jun 28 12:10:00.0      79.22230        77.47692        402541.025
2014 Jun 28 12:15:00.0      78.33958        78.24564        402450.879
2014 Jun 28 12:20:00.0      77.45416        79.01407        402360.761
2014 Jun 28 12:25:00.0      76.56619        79.78257        402270.714
2014 Jun 28 12:30:00.0      75.67584        80.55152        402180.781
2014 Jun 28 12:35:00.0      74.78326        81.32130        402091.006
2014 Jun 28 12:40:00.0      73.88862        82.09229        402001.431
2014 Jun 28 12:45:00.0      72.99207        82.86489        401912.099
2014 Jun 28 12:50:00.0      72.09378        83.63951        401823.054
2014 Jun 28 12:55:00.0      71.19391        84.41656        401734.338
2014 Jun 28 13:00:00.0      70.29262        85.19648        401645.994
2014 Jun 28 13:05:00.0      69.39007        85.97971        401558.065
2014 Jun 28 13:10:00.0      68.48643        86.76669        401470.593
2014 Jun 28 13:15:00.0      67.58188        87.55791        401383.621
2014 Jun 28 13:20:00.0      66.67657        88.35383        401297.190
2014 Jun 28 13:25:00.0      65.77070        89.15497        401211.343
2014 Jun 28 13:30:00.0      64.86442        89.96183        401126.120
2014 Jun 28 13:35:00.0      63.95794        90.77496        401041.565
2014 Jun 28 13:40:00.0      63.05143        91.59491        400957.716
2014 Jun 28 13:45:00.0      62.14509        92.42225        400874.616
2014 Jun 28 13:50:00.0      61.23911        93.25760        400792.305
2014 Jun 28 13:55:00.0      60.33369        94.10158        400710.823
2014 Jun 28 14:00:00.0      59.42906        94.95483        400630.211
2014 Jun 28 14:05:00.0      58.52542        95.81804        400550.506
2014 Jun 28 14:10:00.0      57.62300        96.69192        400471.749
2014 Jun 28 14:15:00.0      56.72203        97.57721        400393.979
2014 Jun 28 14:20:00.0      55.82277        98.47468        400317.232
2014 Jun 28 14:25:00.0      54.92545        99.38516        400241.548
2014 Jun 28 14:30:00.0      54.03036       100.30949        400166.964
2014 Jun 28 14:35:00.0      53.13776       101.24856        400093.516
2014 Jun 28 14:40:00.0      52.24795       102.20330        400021.242
2014 Jun 28 14:45:00.0      51.36124       103.17471        399950.176
2014 Jun 28 14:50:00.0      50.47795       104.16381        399880.354
2014 Jun 28 14:55:00.0      49.59841       105.17168        399811.811
2014 Jun 28 15:00:00.0      48.72299       106.19946        399744.581
2014 Jun 28 15:05:00.0      47.85207       107.24833        399678.698
2014 Jun 28 15:10:00.0      46.98603       108.31956        399614.196
2014 Jun 28 15:15:00.0      46.12532       109.41445        399551.105
2014 Jun 28 15:20:00.0      45.27037       110.53438        399489.459
2014 Jun 28 15:25:00.0      44.42167       111.68080        399429.288
2014 Jun 28 15:30:00.0      43.57971       112.85521        399370.622
2014 Jun 28 15:35:00.0      42.74504       114.05921        399313.493
2014 Jun 28 15:40:00.0      41.91823       115.29445        399257.928
2014 Jun 28 15:45:00.0      41.09989       116.56264        399203.957
2014 Jun 28 15:50:00.0      40.29067       117.86559        399151.607
2014 Jun 28 15:55:00.0      39.49126       119.20515        399100.904
2014 Jun 28 16:00:00.0      38.70239       120.58325        399051.876
2014 Jun 28 16:05:00.0      37.92485       122.00188        399004.548
2014 Jun 28 16:10:00.0      37.15947       123.46308        398958.944
2014 Jun 28 16:15:00.0      36.40714       124.96893        398915.089
2014 Jun 28 16:20:00.0      35.66880       126.52152        398873.005
2014 Jun 28 16:25:00.0      34.94546       128.12299        398832.716
2014 Jun 28 16:30:00.0      34.23818       129.77544        398794.241
2014 Jun 28 16:35:00.0      33.54808       131.48094        398757.603
2014 Jun 28 16:40:00.0      32.87635       133.24152        398722.820
2014 Jun 28 16:45:00.0      32.22425       135.05907        398689.913
2014 Jun 28 16:50:00.0      31.59309       136.93538        398658.899
2014 Jun 28 16:55:00.0      30.98424       138.87201        398629.795
2014 Jun 28 17:00:00.0      30.39915       140.87029        398602.618
2014 Jun 28 17:05:00.0      29.83930       142.93125        398577.383
2014 Jun 28 17:10:00.0      29.30622       145.05554        398554.105
2014 Jun 28 17:15:00.0      28.80148       147.24337        398532.797
2014 Jun 28 17:20:00.0      28.32667       149.49443        398513.473
